"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"ITN_EASTING"|"ITN_NORTHING"|"ITN_TOID"|"ITN_TOID_VERSION"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"VERIFIED_ADDRESS"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
16250562|"Public Telephone"|"06340460"|292160|92202|1|""|"Not Assigned"|0|292174|92215|"4000000025346000"|"5"|19.1|"Holloway Street"|""|"Exeter"|"Devon"|"EX2 4JD"|"N"|"Exeter District"|"01392214152"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16154144|"Public Telephone"|"06340460"|292721.7|93243.4|1|""|"Not Assigned"|0|292732.3|93225.8|"4000000025336222"|"5"|20.6|"University Of Exeter"|"Sidwell Street (James Owen Court)"|"Exeter"|"Devon"|"EX4 6SD"|"N"|"Exeter District"|"01392490318"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
21066838|"Cash Machine (Barclays Bank plc)"|"02090141"|292173|92748|1|""|"Not Assigned"|0|292154.9|92773.2|"4000000025295481"|"8"|31|"3"|"Bedford Street"|"Exeter"|"Devon"|"EX1 1LX"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"Through the wall with 24 hour accessibility, opens onto public throughfare"|"VocaLink"|"01-DEC-2014"
96606523|"Cash Machine (YCASH)"|"02090141"|292770|93383|1|""|"Not Assigned"|0|292781.5|93390.5|"4000000025439424"|"1"|13.8|"St James Park"|""|"Exeter"|"Devon"|"EX4 6PX"|"N"|"Exeter District"|""|""|""|"Public Accessibility"|"Unknown"|"VocaLink"|"01-DEC-2014"
21841078|"Exe Bridges"|"10590732"|291630|92208|1|""|"Not Assigned"|0|291624.8|92212.4|"4000000025335875"|"3"|6.8|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmdwd"|"Department for Transport"|"01-DEC-2014"
21841331|"South Street"|"10590732"|291950|92514|1|""|"Not Assigned"|0|291949.1|92513.4|"4000000025306045"|"5"|1|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmgtp"|"Department for Transport"|"01-DEC-2014"
21841205|"Odeon Cinema"|"10590732"|292690|93191|1|""|"Not Assigned"|0|292689.8|93191.2|"4000000025321260"|"5"|0.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmpjd"|"Department for Transport"|"01-DEC-2014"
21841366|"Birks Grange"|"10590732"|291135|93967|1|""|"Not Assigned"|0|291141.5|93968.9|"4000000025306180"|"4"|6.8|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmapw"|"Department for Transport"|"01-DEC-2014"
108383131|"Cricklepit Mill"|"03200267"|291849.4|92190.5|1|""|"0001000012292054"|7|291848|92146|"4000000025446617"|"2"|44.5|"Cricklepit Mill"|"Commercial Road"|"Exeter"|"Devon"|"EX2 4AB"|"Y"|"Exeter District"|"01392279244"|"www.devonwildlifetrust.org/cricklepit-mill/"|""|""|""|"PointX"|"01-DEC-2014"
41263546|"Okehampton Street"|"10540736"|291341|92213|1|""|"1000002062025890"|5|291327.5|92195.4|"4000000025458602"|"2"|22.2|"Okehampton Street"|""|"Exeter"|"Devon"|"EX4 1DY"|"N"|"Exeter District"|""|""|""|""|""|"Department for Transport (Parking)"|"01-DEC-2014"
107701036|"Wi-Fi Hotspot (O2 Limited)"|"06340802"|292190.2|92649.7|1|""|"1000002070802039"|4|292184.7|92643.9|"4000000025439407"|"3"|8|"20"|"Bedford Street"|"Exeter"|"Devon"|"EX1 1GJ"|"Y"|"Exeter District"|""|""|""|""|""|"O2 Limited"|"01-DEC-2014"
47968294|"Caffe Nero"|"01020013"|291998.1|92764.3|1|""|"0001000012290458"|10|291988|92756|"4000000025321251"|"4"|13.1|"89"|"Queen Street"|"Exeter"|"Devon"|"EX4 3RP"|"Y"|"Exeter District"|"01392279222"|"www.caffenero.com"|"Caffe Nero"|""|""|"118 Information"|"01-DEC-2014"
47955300|"Park View"|"01010003"|291614.6|93305.4|1|""|"0001000012293975"|3|291609.5|93286|"4000000025306030"|"5"|20|"8"|"Howell Road"|"Exeter"|"Devon"|"EX4 4LG"|"Y"|"Exeter District"|"01392271772"|"www.parkviewexeter.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48761488|"tReds"|"09460657"|291920.2|92662.9|1|""|"0001000012290393"|4|291963|92615.6|"4000000025460692"|"1"|63.8|"4"|"Guildhall Shopping Centre"|"Exeter"|"Devon"|"EX4 3HP"|"Y"|"Exeter District"|"01392277778"|"www.treds.co.uk"|"tReds"|""|""|"118 Information"|"01-DEC-2014"
49762285|"Royal Albert Memorial Museum & Art Gallery"|"03170248"|291945|92843|1|""|"0001000012290481"|6|291929.3|92832.2|"4000000025321006"|"4"|19.1|"Queen Street"|""|"Exeter"|"Devon"|"EX4 3RX"|"N"|"Exeter District"|"01392265858"|"www.exeter.gov.uk/ramm"|""|""|""|"118 Information"|"01-DEC-2014"
49868316|"Georges Meeting House"|"01020034"|292117.3|92346.9|1|""|"0001000012320496"|5|292085.7|92323.6|"4000000025321079"|"4"|39.2|"38"|"South Street"|"Exeter"|"Devon"|"EX1 1ED"|"Y"|"Exeter District"|"01392454250"|"www.jdwetherspoon.co.uk"|"Wetherspoon"|""|""|"118 Information"|"01-DEC-2014"
49763564|"Clifton String Quartet"|"04210273"|292958.5|92904.3|1|""|"0001000012317312"|3|292964.1|92912.6|"4000000025321269"|"5"|10.1|"31"|"Clifton Street"|"Exeter"|"Devon"|"EX1 2EN"|"Y"|"Exeter District"|"01392491079"|"www.cliftonquartet.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
54757990|"Perry Prowse Insurance Consultants Ltd"|"02090149"|292298.1|93025.5|1|""|"0001000012323987"|3|292312.4|93023|"4000000025336184"|"4"|14.5|"23"|"Longbrook Street"|"Exeter"|"Devon"|"EX4 6AB"|"Y"|"Exeter District"|"01392425225"|""|""|""|""|"118 Information"|"01-DEC-2014"
54761705|"Swinton Insurance"|"02090149"|292584.8|93075.8|1|""|"0001000012322945"|6|292571.2|93090.9|"4000000025321220"|"4"|20.3|"142"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6RT"|"Y"|"Exeter District"|"01392421903"|"www.swinton.co.uk"|"Swinton"|""|""|"118 Information"|"01-DEC-2014"
54777728|"James Bax"|"02090154"|292197.9|92046|1|""|"0001000012320145"|5|292182.4|92030.6|"4000000025306048"|"3"|21.8|"8"|"Colleton Crescent"|"Exeter"|"Devon"|"EX2 4DG"|"Y"|"Exeter District"|"01392208484"|"www.rougemontchambers.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
68714899|"Triumph"|"09460660"|291976.6|92660|1|""|"0001000012290353"|3|291992.6|92642.3|"4000000025460692"|"1"|23.8|"205"|"High Street"|"Exeter"|"Devon"|"EX4 3EB"|"Y"|"Exeter District"|"01392210616"|"www.triumph.com/uk"|"Triumph"|""|""|"118 Information"|"01-DEC-2014"
75357823|"Stagecoach"|"10570731"|292596.1|92961.8|1|""|"0001000012317532"|7|292617.2|92942.7|"4000000025458660"|"1"|28.5|""|"Belgrave Road"|"Exeter"|"Devon"|"EX1 2LB"|"Y"|"Exeter District"|"01392427711"|"www.stagecoachbus.com"|"Stagecoach Group"|""|""|"118 Information"|"01-DEC-2014"
75488819|"Pennsylvania House"|"05280373"|292522.4|93542.9|1|""|"0001000012321525"|4|292526.9|93528.2|"4000000025321288"|"5"|15.4|"7"|"Powderham Crescent"|"Exeter"|"Devon"|"EX4 6DA"|"Y"|"Exeter District"|"01392256346"|""|""|""|""|"118 Information"|"01-DEC-2014"
75361846|"Number One Thai Massage"|"09480680"|292075.3|93285|1|""|"0001000012324233"|5|292081.7|93286.9|"4000000025295484"|"4"|6.6|"1"|"Hoopern Street"|"Exeter"|"Devon"|"EX4 4LU"|"Y"|"Exeter District"|"01392459954"|"www.thaispa.org.uk"|""|""|""|"118 Information"|"01-DEC-2014"
85630540|"Book-cycle"|"09480714"|291774.6|92261.2|1|""|"0001000012291696"|5|291768.6|92249.2|"4000000025458658"|"2"|13.4|"5-7"|"West Street"|"Exeter"|"Devon"|"EX1 1BB"|"Y"|"Exeter District"|"01392420021"|"www.book-cycle.org"|""|""|""|"118 Information"|"01-DEC-2014"
91409658|"C J Hicks"|"02030045"|292936.3|93267.8|1|""|"0001000012322787"|5|292916.9|93261.1|"4000000025336231"|"5"|20.5|"Flat 52 Belmont House"|"Silver Lane"|"Exeter"|"Devon"|"EX4 6SQ"|"Y"|"Exeter District"|"01392252895"|""|""|""|""|"118 Information"|"01-DEC-2014"
